	word	frequency
681	cpu1_c4d0	14
682	0x06	13
683	0x66	13
684	expired	13
685	disk19_stat	13
686	disk22_stat	13
687	disk23_stat	13
688	disk35_stat	13
689	disk34_stat	13
690	disk41_stat	13
691	front1_8_status	13
692	rear2_7_status	13
693	460ps1_dc_status	13
694	26	13
695	71	13
696	25	13
697	dc	12
698	000137	12
699	hdd_r_21_status	12
700	hdd_l_27_status	12
701	hdd_r_27_status	12
702	4800	12
703	d3	12
704	disk53_stat	12
705	10	12
706	eth2	12
707	0xc6	12
708	68	12
709	aa170007218060b3646c000000	12
710	aa17000720900001014000008c	12
711	unrecoverable	11
712	ide	11
713	cpu1_vr_temp	11
714	disk37_stat	11
715	front1_1_status	11
716	front2_1_status	11
717	front1_7_status	11
718	rear2_4_status	11
719	rear2_0_status	11
720	460ps2_dc_status	11
721	103	11
722	59	11
723	bp2_hdd13_status	11
724	bp4_hdd14_status	11
725	0x92	11
726	cpu1_c0d0	11
727	cpu0_c3d0	11
728	cpu0_c2d0	11
729	cpu1_c2d0	11
730	dimm150_status	11
731	hdd_l_29_status	10
732	hdd_r_22_status	10
733	0x6b	10
734	config	10
735	9	10
736	0x67	10
737	disk40_stat	10
738	disk42_stat	10
739	disk45_stat	10
740	disk36_stat	10
741	30	10
742	29	10
743	fpga	10
744	dimm1	10
745	cpu1_c5d0	10
746	dimm050_stat	9
747	dimm010_stat	9
748	5	9
749	disk50_stat	9
750	disk39_stat	9
751	disk38_stat	9
752	disk49_stat	9
753	dimm060_status	9
754	252	9
755	rear2_5_status	9
756	rear2_8_status	9
757	front2_2_status	9
758	front1_2_status	9
759	rear2_9_status	9
760	rear2_11_status	9
761	front2_7_status	9
762	front2_9_status	9
763	front1_5_status	9
764	front2_4_status	9
765	front1_0_status	9
766	front1_3_status	9
767	rear2_2_status	9
768	front1_4_status	9
769	front1_10_status	9
770	front2_3_status	9
771	front2_6_status	9
772	front1_9_status	9
773	front2_0_status	9
774	front1_6_status	9
775	front2_10_status	9
776	rear2_6_status	9
777	front2_5_status	9
778	rear2_3_status	9
779	rear2_1_status	9
780	front2_11_status	9
781	front2_8_status	9
782	front1_11_status	9
783	rear2_10_status	9
784	media	9
785	info	9
786	0x98	9
787	0x84	9
788	aa1700072286082090c0010800	9
789	4000	9
790	pwrok	9
791	sig	9
792	drop	9
793	time	9
794	hopping	9
795	dimm000_stat	8
796	dimm120_stat	8
797	hdd_l_20_status	8
798	hdd_l_26_status	8
799	cpu0_dts_temp	8
800	moc_cpu_temp	8
801	cpu_pgs	8
802	disk52_stat	8
803	disk51_stat	8
804	disk54_stat	8
805	dimm030_status	8
806	cpu0_memory_hot	8
807	overtemperature	8
808	dimm110_stat	8
809	dimm130_status	8
810	mb_ssd1	8
811	hdd76	8
812	offline	8
813	rear_hdd_temp	8
814	115	8
815	111	8
816	0x97	8
817	0x02	8
818	cpu0_c5d1	8
819	aa1700072286106081c0010020	8
820	4100	8
821	3800	8
822	5200	8
823	1900	8
824	1700	8
825	dimm040_stat	7
826	7	7
827	fan5_f_rpm	7
828	0x30	7
829	eventlog	7
830	disk47_stat	7
831	disk31_stat	7
832	disk55_stat	7
833	disk43_stat	7
834	disk48_stat	7
835	disk46_stat	7
836	disk44_stat	7
837	post	7
838	254	7
839	460ps1_ac_status	7
840	aa1700040000048000000000be	7
841	aa1700030000048000000000be	7
842	removable	7
843	found	7
844	0x86	7
845	aa170007228610c007c1020020	7
846	4700	7
847	dimm000_status	7
848	dimm140_stat	6
849	dimm020_stat	6
850	cableinterconnect	6
851	pci	6
852	serr	6
853	0x89	6
854	0xf5	6
855	disk58_stat	6
856	disk60_stat	6
857	253	6
858	460ps2_ac_status	6
859	fan10_rpm	6
860	fan9_rpm	6
861	dimm0	6
862	r1_rt_cable_12	6
863	r2_rt_cable_34	6
864	r1_rt_cable_34	6
865	2000024c0200	6
866	r3_u_rt_cable_34	6
867	r3_d_rt_cable_34	6
868	0102c0a8000a	6
869	00000c000a11	6
870	bp2_hdd5_status	6
871	aa170007228610e081c0010020	6
872	aa170007228610e027c1020020	6
873	0xef	6
874	cpu1_c1d0	6
875	cpu1_c2d1	6
876	session	5
877	audit	5
878	dimm130_stat	5
879	dimm100_stat	5
880	11	5
881	disk59_stat	5
882	disk56_stat	5
883	disk57_stat	5
884	dimm050_status	5
885	0x8a	5
886	35	5
887	dimm070_status	5
888	0x83	5
889	aa17000401b0e8736d00000000	5
890	aa17000302b0e8736d00000000	5
891	aa17000301b0e8736d00000000	5
892	aa17000402b0e8736d00000000	5
893	0xe3	5
894	0xa1	5
895	000010003401	5
896	r2_rt_cable_12	5
897	r3_d_rt_cable_12	5
898	r3_u_rt_cable_12	5
899	0202c0a8000a	5
900	19	5
901	fail	5
902	200002a80200	5
903	bp3_hdd24_status	5
904	bp2_hdd18_status	5
905	bp1_hdd7_status	5
906	bp3_hdd28_status	5
907	bp2_hdd14_status	5
908	bp1_hdd13_status	5
909	bp1_hdd10_status	5
910	bp1_hdd27_status	5
911	bp2_hdd2_status	5
912	bp2_hdd17_status	5
913	bp1_hdd28_status	5
914	0x9a	5
915	0x94	5
916	0x99	5
917	cpu0_c3d1	5
918	aa170007228610c027c1020020	5
919	riser1	5
920	cpu1_c3d1	5
921	cpu0_c4d1	5
922	dimm020_status	5
923	dimm100_status	5
924	dimm110_status	5
925	dimm150_stat	4
926	power_timeout	4
927	dimm2b	4
928	0x21	4
929	3072	4
930	cpu0_vr_temp	4
931	mem_ab_hot	4
932	0xfd	4
933	oem_ps2_temp	4
934	dimm170_status	4
935	cpu0a0_dimm_temp	4
936	cpu0b0_dimm_temp	4
937	dimm120_status	4
938	fan11_rpm	4
939	fan12_rpm	4
940	buttonmm	4
941	ev	4
942	aa170001028600000000000000	4
943	0xc8	4
944	aa170001128600000000000000	4
945	0x7e	4
946	cpu_dimm_hot	4
947	node_pdb_temp	4
948	107	4
949	27	4
950	38	4
951	000010005111	4
952	79	4
953	bp2_hdd11_status	4
954	cable	4
955	interconnect	4
956	ps_redundant	4
957	67	4
958	aa170009000a110c00000020fe	4
959	moc_dimm1_temp	4
960	moc_dimm0_temp	4
961	no	4
962	inlet_temp	4
963	5700	4
964	3700	4
965	9600	4
966	7800	4
967	7900	4
968	9500	4
969	192	4
970	cpu1_c5d1	4
971	cpu0_c2d1	4
972	cpu0_c0d1	4
973	cpu1_c0d1	4
974	cpu0_c1d1	4
975	cpu1_c4d1	4
976	dimm010_status	4
977	failed	4
978	0x3f	4
979	0x75	4
980	chip	4
981	set	4
982	pch	4
983	specific	3
984	256	3
985	fan3_f_rpm	3
986	fan1_f_rpm	3
987	fan6_r_rpm	3
988	fan7_f_rpm	3
989	fan8_f_rpm	3
990	fan2_r_rpm	3
991	fan7_r_rpm	3
992	fan1_r_rpm	3
993	fan4_r_rpm	3
994	fan5_r_rpm	3
995	fan3_r_rpm	3
996	fan4_f_rpm	3
997	fan2_f_rpm	3
998	fan8_r_rpm	3
999	6000	3
1000	0x85	3
1001	0xe6	3
1002	nvme1_stat	3
1003	nvme2_stat	3
1004	dimm140_status	3
1005	frb2hang	3
1006	245	3
1007	cpu0_a1	3
1008	cpu0_a0	3
1009	246	3
1010	249	3
1011	parity	3
1012	aa1700010034011000000080bd	3
1013	hdd	3
1014	0xa7	3
1015	301c08000000	3
1016	301c10000000	3
1017	301c20000000	3
1018	000020000f0e	3
1019	000000007401	3
1020	000010007911	3
1021	bp1_hdd5_status	3
1022	bp3_hdd25_status	3
1023	bp1_hdd4_status	3
1024	bp2_hdd9_status	3
1025	bp4_hdd16_status	3
1026	bp1_hdd6_status	3
1027	bp2_hdd15_status	3
1028	bp3_hdd2_status	3
1029	bp4_hdd1_status	3
1030	bp4_hdd8_status	3
1031	bp4_hdd7_status	3
1032	bp3_hdd12_status	3
1033	bp4_hdd12_status	3
1034	bp3_hdd4_status	3
1035	bp3_hdd14_status	3
1036	bp1_hdd24_status	3
1037	bp4_hdd2_status	3
1038	bp1_hdd3_status	3
1039	bp2_hdd20_status	3
1040	bp4_hdd15_status	3
1041	bp1_hdd14_status	3
1042	bp1_hdd12_status	3
1043	bp1_hdd9_status	3
1044	bp3_hdd3_status	3
1045	bp2_hdd12_status	3
1046	bp3_hdd7_status	3
1047	bp3_hdd10_status	3
1048	bp4_hdd13_status	3
1049	bp2_hdd3_status	3
1050	bp2_hdd7_status	3
1051	bp3_hdd26_status	3
1052	bp4_hdd10_status	3
1053	0x40	3
1054	bp1_hdd11_status	3
1055	bp2_hdd4_status	3
1056	bp1_hdd1_status	3
1057	bp2_hdd16_status	3
1058	bp2_hdd6_status	3
1059	bp1_hdd8_status	3
1060	bp3_hdd1_status	3
1061	bp3_hdd8_status	3
1062	bp1_hdd26_status	3
1063	bp2_hdd1_status	3
1064	bp2_hdd10_status	3
1065	bp4_hdd6_status	3
1066	bp1_hdd2_status	3
1067	bp4_hdd5_status	3
1068	bp3_hdd6_status	3
1069	bp3_hdd11_status	3
1070	bp2_hdd19_status	3
1071	bp4_hdd9_status	3
1072	bp2_hdd8_status	3
1073	bp3_hdd27_status	3
1074	bp4_hdd3_status	3
1075	bp3_hdd9_status	3
1076	bp1_hdd23_status	3
1077	bp1_hdd25_status	3
1078	bp3_hdd23_status	3
1079	bp4_hdd11_status	3
1080	bp3_hdd13_status	3
1081	bp4_hdd4_status	3
1082	bp3_hdd5_status	3
1083	0x93	3
1084	fan_4	3
1085	aa17000901c031c4fd00000000	3
1086	3900	3
1087	dimm001_status	3
1088	op	3
1089	array	3
1090	dimm101_status	3
1091	6	2
1092	2816	2
1093	2944	2
1094	3360	2
1095	2880	2
1096	4560	2
1097	1680	2
1098	oem_ps1_temp	2
1099	bios_poststatus	2
1100	power_drop_stat	2
1101	dimm160_status	2
1102	please	2
1103	contact	2
1104	designer	2
1105	cpu0_h1	2
1106	cpu1e0_dimm_temp	2
1107	cpu0e0_dimm_temp	2
1108	cpu1e1_dimm_temp	2
1109	cpu0e1_dimm_temp	2
1110	max_tsb_temp	2
1111	aa170001010040dae30b0006ff	2
1112	aa17000700920001014000008c	2
1113	aa1700070100f871a81f000000	2
1114	aa1700011034011000000080bd	2
1115	aa170001110000034024000000	2
1116	aa170001118000004024000000	2
1117	aa1700011034011000000080ff	2
1118	20fa	2
1119	20f9	2
1120	0x91	2
1121	0xa6	2
1122	bios	2
1123	301c18000000	2
1124	front	2
1125	panel	2
1126	request	2
1127	unspecified	2
1128	0010af001222	2
1129	0010af001122	2
1130	868020200051	2
1131	868020200026	2
1132	868020200024	2
1133	868020200005	2
1134	000040000704	2
1135	b51097971421	2
1136	75	2
1137	00000f000500	2
1138	bp1_hdd16_status	2
1139	bp2_hdd25_status	2
1140	0x95	2
1141	0202c0a8006f	2
1142	2000025d0200	2
1143	fru	2
1144	mb	2
1145	battery	2
1146	0x5d	2
1147	fan_0	2
1148	fan_2	2
1149	fan_6	2
1150	aa1700030000048000000000fe	2
1151	aa170003015eb0507600000000	2
1152	aa17000b000a110c00000020fe	2
1153	aa170003025eb0507600000000	2
1154	aa1702000002ffffe802000000	2
1155	aa17020000020fffe802000000	2
1156	6100	2
1157	5800	2
1158	5000	2
1159	4900	2
1160	000010003511	2
1161	0xa8	2
1162	199	2
1163	fpga1_temp	2
1164	fan3_0_rpm	2
1165	864	2
1166	nvme10_temp	2
1167	bootable	2
1168	0x79	2
1169	0x03	2
1170	0080dea76000	1
1171	0x1d	1
1172	0x26	1
1173	bmc_b	1
1174	2280	1
1175	3960	1
1176	2160	1
1177	3720	1
1178	2040	1
1179	1560	1
1180	2640	1
1181	2400	1
1182	diagnostic	1
1183	power_button	1
1184	dimme	1
1185	bios_boo	1
1186	dimma	1
1187	nic1_temp	1
1188	0xbe	1
1189	ocp_card_stat	1
1190	pcie_card1_stat	1
1191	pcie_card2_stat	1
1192	m2_card_stat	1
1193	cpu0_c0	1
1194	cpu0_g0	1
1195	cpu0_c1	1
1196	cpu1_h0	1
1197	cpu0_f0	1
1198	cpu1_c0	1
1199	cpu1_h1	1
1200	cpu0f0_dimm_temp	1
1201	cpu1f1_dimm_temp	1
1202	cpu1f0_dimm_temp	1
1203	cpu0f1_dimm_temp	1
1204	cpu1_b1	1
1205	8760	1
1206	3600	1
1207	cpu0b0_dim	1
1208	fullness	1
1209	0x0c	1
1210	0xc3	1
1211	5ba	1
1212	aa170102000000000000000000	1
1213	5bb	1
1214	aa170103000000000000000000	1
1215	5b8	1
1216	aa170100000020030024000000	1
1217	5bc	1
1218	aa170104000000004800000000	1
1219	5b9	1
1220	aa170101000040000000200000	1
1221	a28	1
1222	a29	1
1223	a26	1
1224	a25	1
1225	a2a	1
1226	a24	1
1227	psu2_status	1
1228	subsystem_health	1
1229	event_log	1
1230	15	1
1231	e	1
1232	17	1
1233	14	1
1234	f	1
1235	13	1
1236	aa170001010068d9e30b0006ff	1
1237	2a	1
1238	1347	1
1239	aa17001220c2000800400e00cc	1
1240	1348	1
1241	aa17001221c023e73246000000	1
1242	1349	1
1243	aa170012228600000000000009	1
1244	fe	1
1245	fc	1
1246	aa170007028610e017c0000820	1
1247	fa	1
1248	ff	1
1249	aa170007028610c090c0010820	1
1250	fb	1
1251	c49	1
1252	c48	1
1253	c47	1
1254	c3f	1
1255	c40	1
1256	c4b	1
1257	c4a	1
1258	c44	1
1259	c41	1
1260	c42	1
1261	c46	1
1262	c43	1
1263	aa17000711c0203f9444000000	1
1264	aa17000710920001014000008c	1
1265	aa170007128610e092c0010820	1
1266	aa170001010000000000000000	1
1267	aa1700010034011000000080fb	1
1268	20fb	1
1269	e9	1
1270	07026740236f0f0000000f00c0	1
1271	e1	1
1272	030967400f6f01000000010000	1
1273	f1	1
1274	03007f68010100000000000080	1
1275	dimmd	1
1276	301408000000	1
1277	312508000000	1
1278	301508000000	1
1279	301c28000000	1
1280	8680006f51ff	1
1281	301c38000000	1
1282	rejected	1
1283	api	1
1284	requests	1
1285	approach	1
1286	301c00000000	1
1287	301360000000	1
1288	301c60000000	1
1289	301460000000	1
1290	0102c0a8000f	1
1291	301560000000	1
1292	301c40000000	1
1293	000022007a01	1
1294	000023000f0e	1
1295	000001001400	1
1296	000000008401	1
1297	000008008901	1
1298	33	1
1299	63	1
1300	0202c0a80077	1
1301	000080000004	1
1302	312569000000	1
1303	22	1
1304	cpu1_memory_hot	1
1305	b51064870e21	1
1306	b51097971821	1
1307	23	1
1308	0202c0a8006e	1
1309	0202c0a80008	1
1310	0102c0a80008	1
1311	0202c0a80064	1
1312	0x7a	1
1313	0102c0a8006f	1
1314	dis	1
1315	cpu1_c1	1
1316	0xe5	1
1317	cpu0_e0	1
1318	cpu0_b1	1
1319	0xcd	1
1320	608	1
1321	60e	1
1322	60a	1
1323	609	1
1324	60c	1
1325	60d	1
1326	20f6	1
1327	aa170003020a99be7700000000	1
1328	20fe	1
1329	aa170009028600c80826702000	1
1330	2124	1
1331	2102	1
1332	aa17000b028600c000a6702000	1
1333	2105	1
1334	2119	1
1335	aa1700030135c9a87700000000	1
1336	20f5	1
