sn,day,msg_log,label,prediction,memory,processor,cpu0,asserted,deasserted,caterr,correctable,ecc,uncorrectable,detected,system,0x3b,configuration,power,0x19,state,cpu_caterr,cpu0_status,temperature,cpu1_status,mcerr,error,failure,0x7d,ierr,supply,presence,chassis_control,reset,device,unknown,bios_boot_up,0xe0,machine,boot,disabled,s4s5,transition,up,microcontroller,initiated,125,0x17,0x10,button,0x13,0xf9,event,status,going
SERVER_10102,2020-06-14, memory cpu1c0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10104,2020-09-19, memory cpu0f0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10123,2020-07-05, memory cpu0f0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10126,2020-05-22, memory cpu1b0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10126,2020-11-12, memory cpu1b0_dimm_stat | uncorrectable ecc | asserted. processor cpu1_status | configuration error | asserted.,1,2,1,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10128,2020-08-31, memory cpu1d0_dimm_stat | correctable ecc | asserted. memory cpu1e0_dimm_stat | correctable ecc | asserted. memory cpu0d0_dimm_stat | correctable ecc | asserted. memory cpu1a0_dimm_stat | correctable ecc | asserted. memory cpu0a0_dimm_stat | correctable ecc | asserted.,2,2,5,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10146,2020-11-05, memory cpu0f0_dimm_stat | correctable ecc | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted.,2,2,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10168,2020-03-04, memory cpu1b0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10173,2020-04-20, memory cpu1d0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10173,2020-05-01," power supply ps2_status | ac out-of-range, but present | asserted. button button_pressed | power button pressed | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. memory cpu1b0_dimm_stat | memory device disabled | asserted. power supply ps1_status | power supply ac lost | asserted. power supply ps1_status | presence detected | asserted. power supply ps2_status | power supply ac lost | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. management subsystem health system_health | sensor access degraded or unavailable | asserted. processor cpu0_status | presence detected | asserted. power supply ps1_status | ac out-of-range, but present | asserted. microcontroller/coprocessor bmc_boot_up | device enabled | asserted. processor cpu1_status | presence detected | asserted. memory cpu1b0_dimm_stat | memory device disabled | deasserted. power supply ps2_status | presence detected | asserted. management subsystem health system_health | sensor access degraded or unavailable | deasserted.",2,2,4,2,0,14,2,0,0,0,0,4,2,0,0,11,0,2,0,1,0,1,0,0,0,0,0,8,4,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
SERVER_10174,2020-03-07, memory cpu0c0_dimm_stat | memory device disabled | asserted. memory cpu0c0_dimm_stat | memory device disabled | deasserted. system boot initiated bios_boot_up | initiated by warm reset | asserted.,2,2,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10182,2020-05-01, memory cpu0f0_dimm_stat | memory device disabled | deasserted. memory cpu0f0_dimm_stat | memory device disabled | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted.,2,2,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10185,2020-01-31, memory cpu1e0_dimm_stat | memory device disabled | deasserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. memory cpu1e0_dimm_stat | memory device disabled | asserted.,2,2,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10189,2020-05-12, system boot initiated bios_boot_up | initiated by warm reset | asserted. memory cpu0f0_dimm_stat | memory device disabled | asserted.,2,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10193,2020-02-14, memory cpu1b0_dimm_stat | uncorrectable ecc | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. processor cpu1_status | configuration error | deasserted. memory cpu1b0_dimm_stat | uncorrectable ecc | deasserted. processor cpu1_status | configuration error | asserted.,2,2,2,2,0,3,2,0,0,2,2,0,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_1020,2020-07-02, power supply ps2_status | failure detected | asserted.,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10200,2020-05-16, memory cpu1f0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10203,2020-06-17, memory cpu0f0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10203,2020-07-05, memory cpu1f0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10206,2020-02-01, memory cpu0d0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10206,2020-09-20, memory cpu0c0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10209,2020-08-09, memory cpu1c0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_1021,2020-03-30, memory | correctable ecc | asserted | cpu 0 dimm 8.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_1021,2020-04-01, memory | correctable ecc | asserted | cpu 0 dimm 8. unknown #0xff |  | asserted.,2,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10210,2020-11-21, memory cpu0b0_dimm_stat | memory device disabled | deasserted. memory cpu0b0_dimm_stat | memory device disabled | asserted. memory cpu1a0_dimm_stat | memory device disabled | asserted. memory cpu1a0_dimm_stat | memory device disabled | deasserted. memory cpu0b0_dimm_stat | configuration error | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. memory cpu0b0_dimm_stat | configuration error | deasserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,2,2,10,0,0,5,3,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10212,2020-05-13, memory cpu0a0_dimm_stat | correctable ecc | asserted. power supply ps1_status | presence detected | asserted. event logging disabled sel_status | log area reset/cleared | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu1_status | presence detected | asserted. microcontroller/coprocessor bmc_boot_up | device enabled | asserted. processor cpu0_status | presence detected | asserted. button button_pressed | power button pressed | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. power supply ps2_status | presence detected | asserted. microcontroller bmc_boot_up | device enabled | asserted.,2,2,1,2,0,12,0,0,1,1,0,4,3,0,0,5,0,2,0,1,0,1,0,0,0,0,0,2,4,0,1,2,0,1,0,0,1,1,1,0,0,1,2,0,0,0,2,0,0,1,0,0
SERVER_10212,2020-08-04, memory cpu1a0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10216,2020-04-24, memory cpu0d0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10222,2020-07-08, management subsys health system_health | sensor access degraded or unavailable | deasserted. management subsystem health system_health | sensor access degraded or unavailable | deasserted. processor cpu0_status | ierr | deasserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. management subsystem health system_health | sensor access degraded or unavailable | asserted.,1,1,0,1,0,5,3,0,0,0,0,0,3,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10226,2020-05-12, memory cpu0c0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10228,2020-11-07, processor cpu1_status | configuration error | asserted. memory cpu1e0_dimm_stat | uncorrectable ecc | asserted. memory cpu0c0_dimm_stat | memory device disabled | asserted. processor cpu1_status | configuration error | deasserted. memory cpu1e0_dimm_stat | uncorrectable ecc | deasserted. system boot initiated bios_boot_up | initiated by power up | asserted.,1,2,4,2,0,4,2,0,0,2,2,0,1,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
SERVER_10232,2020-04-13, memory cpu0e0_dimm_stat | correctable ecc | deasserted. memory cpu1f0_dimm_stat | memory device disabled | deasserted. processor cpu1_status | configuration error | asserted. memory cpu1f0_dimm_stat | memory device disabled | asserted. memory cpu0e0_dimm_stat | correctable ecc | asserted. memory cpu1f0_dimm_stat | uncorrectable ecc | asserted. memory cpu1f0_dimm_stat | uncorrectable ecc | deasserted. processor cpu0_status | ierr | asserted. processor cpu1_status | configuration error | deasserted.,2,0,8,3,0,5,4,0,2,4,2,0,0,0,2,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10243,2020-08-29, memory cpu1a0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10246,2020-07-01, memory cpu0b0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10251,2020-06-19, memory cpu1f0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10253,2020-08-08, memory cpu0b0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10253,2020-09-09, memory cpu1a0_dimm_stat | correctable ecc | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. memory cpu1c0_dimm_stat | correctable ecc | asserted.,2,2,2,0,0,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10255,2020-04-02, memory cpu0c0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10269,2020-02-13, memory cpu1a0_dimm_stat | uncorrectable ecc | deasserted. memory cpu1a0_dimm_stat | uncorrectable ecc | asserted. processor cpu1_status | configuration error | deasserted. processor cpu1_status | configuration error | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted.,2,2,2,2,0,3,2,0,0,2,2,0,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SERVER_10270,2020-05-22, memory cpu0f0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10272,2020-01-13, processor cpu1_status | ierr | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. processor cpu0_status | ierr | asserted. processor cpu1_status | ierr | deasserted.,1,1,0,3,0,4,1,0,0,0,0,0,2,0,0,2,0,2,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10291,2020-09-03, memory cpu0b0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10293,2020-08-13, memory cpu1e0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10295,2020-09-19, memory cpu0a0_dimm_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10310,2020-08-13, memory dimm130_stat | correctable ecc | asserted. memory dimm040_stat | correctable ecc | asserted.,2,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10315,2020-03-05, drive slot / bay hdd_r_28_status | drive fault | asserted. drive slot / bay hdd_r_28_status | drive fault | deasserted.,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10318,2020-10-17, memory dimm020_stat | correctable ecc | asserted.,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10323,2020-05-30, os boot #0xe0 | boot completed - device not specified | asserted. event logging disabled sel_status | log area reset/cleared | asserted. system boot initiated #0xe0 | initiated by hard reset | asserted.,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
SERVER_10332,2020-09-29, processor cpu0_status | ierr | asserted. management subsystem health system_health | sensor access degraded or unavailable | asserted. processor cpu1_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted.,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10334,2020-04-11, system boot initiated bios_boot_up | initiated by warm reset | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu1_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. management subsys health system_health | sensor access degraded or unavailable | deasserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. processor cpu1_status | ierr | deasserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,1,1,0,2,0,6,2,0,0,0,0,0,4,0,0,3,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10338,2020-06-27, processor cpu1_status | presence detected | asserted. power supply ps2_status | presence detected | asserted. microcontroller bmc_boot_up | device enabled | asserted. processor cpu0_status | ierr | asserted. power supply ps1_status | presence detected | asserted. processor cpu0_status | presence detected | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,1,0,0,3,0,7,0,0,0,0,0,4,1,0,0,3,0,1,0,2,0,1,0,0,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SERVER_10341,2020-06-01, system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu0_status | ierr | deasserted. management subsys health system_health | sensor access degraded or unavailable | deasserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. processor cpu1_status | ierr | deasserted. processor cpu0_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. processor cpu1_status | ierr | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,1,1,0,4,0,7,3,0,0,0,0,0,4,0,0,3,0,2,0,2,0,2,0,0,0,0,4,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_1035,2020-05-18, memory | correctable ecc | asserted | cpu 0 dimm 8. memory | correctable ecc (@dimm1a(cpu1)) | asserted.,2,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10351,2020-04-17, system boot initiated bios_boot_up | initiated by warm reset | asserted. processor cpu0_status | configuration error | asserted. processor cpu0_status | ierr | deasserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu1_status | ierr | deasserted. processor cpu0_status | ierr | asserted. processor cpu1_status | ierr | asserted. processor cpu0_status | configuration error | deasserted. system boot initiated bios_boot_up | initiated by power up | asserted.,1,1,0,6,0,7,3,0,0,0,0,0,4,0,2,3,0,2,0,4,0,2,0,2,0,0,4,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
SERVER_10358,2020-03-18, memory cpu0a1_dimm_stat | correctable ecc | asserted. processor cpu1_status | configuration error | asserted. memory cpu0a0_dimm_stat | correctable ecc | asserted. memory cpu0a0_dimm_stat | uncorrectable ecc | asserted. processor cpu1_status | ierr | asserted.,2,2,3,2,0,5,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10372,2020-07-22, drive slot / bay hdd_l_19_status | drive fault | asserted. drive slot / bay hdd_l_19_status | drive fault | deasserted.,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10372,2020-11-23, drive slot / bay hdd_l_15_status | drive fault | asserted. drive slot / bay hdd_l_15_status | drive fault | deasserted.,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVER_10373,2020-08-06, drive slot / bay hdd_r_14_status | drive fault | asserted. drive slot / bay hdd_r_14_status | drive fault | deasserted.,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
