sn,server_model,msg_cnt,fault_hour,fault_minute,msg_1_cnt,msg_2_cnt,msg_3_cnt,msg_4_cnt,msg_hour_max,msg_hour_min,msg_hour_avg,msg_hour_median,msg_hour_mode,msg_minute_max,msg_minute_min,msg_minute_avg,msg_minute_median,msg_minute_mode,msg_log,fault_time
017e4e6117e9,92,36,20,11,0,0,32,0,19,16,17.333333333333332,16.0,16,41,13,28.22222222222222,24.5,39, drive slot hdd56 | drive present | deasserted. drive slot / bay hdd41 | drive present | deasserted. drive slot / bay hdd6 | drive present | deasserted. drive slot hdd73 | drive present | asserted. drive slot hdd6 | drive present | asserted. drive slot / bay hdd16 | drive present | asserted. drive slot / bay hdd72 | drive present | asserted. drive slot hdd57 | drive present | asserted. drive slot / bay hdd72 | drive present | deasserted. drive slot / bay hdd57 | drive present | deasserted. drive slot hdd16 | drive present | asserted. drive slot hdd57 | drive present | deasserted. drive slot / bay hdd57 | drive present | asserted. drive slot / bay hdd17 | drive present | asserted. drive slot hdd17 | drive present | deasserted. drive slot hdd73 | drive present | deasserted. drive slot / bay hdd73 | drive present | deasserted. drive slot / bay hdd16 | drive present | deasserted. drive slot hdd72 | drive present | asserted. drive slot / bay hdd6 | drive present | asserted. drive slot hdd16 | drive present | deasserted. drive slot hdd41 | drive present | deasserted. drive slot / bay hdd56 | drive present | asserted. drive slot / bay hdd41 | drive present | asserted. drive slot hdd56 | drive present | asserted. drive slot hdd17 | drive present | asserted. drive slot / bay hdd56 | drive present | deasserted. drive slot / bay hdd73 | drive present | asserted. drive slot hdd6 | drive present | deasserted. drive slot hdd72 | drive present | deasserted. drive slot / bay hdd17 | drive present | deasserted. drive slot hdd41 | drive present | asserted.,2020-10-22 20:11:00
017e4e6117e9,92,4,15,35,0,0,4,0,15,15,15.0,15.0,15,5,4,4.5,4.5,4, drive slot hdd17 | drive present | asserted. drive slot / bay hdd17 | drive present | deasserted. drive slot hdd17 | drive present | deasserted. drive slot / bay hdd17 | drive present | asserted.,2020-10-23 15:35:55
01a40ffafd2f,68,2,0,25,0,0,2,0,0,0,0.0,0.0,0,18,16,17.0,17.0,16, memory #0xe2 | uncorrectable ecc | asserted. system boot initiated #0xe0 | initiated by power up | asserted.,2020-10-26 00:25:20
01ac9d690a5e,92,3,10,9,0,0,3,0,9,9,9.0,9.0,9,41,41,41.0,41.0,41, power unit power unit | power off/down | asserted. unknown chassis_control |  | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted.,2020-11-20 10:09:54
01cf668b5570,6,1,3,21,0,0,1,0,2,2,2.0,2.0,2,54,54,54.0,54.0,54, memory dimm121 | correctable ecc logging limit reached | asserted.,2020-08-04 03:21:43
01d5da5da11d,68,7,4,9,0,0,6,0,2,2,2.0,2.0,2,57,53,55.0,55.0,53, processor #0x7c | configuration error | asserted. system boot initiated #0xe0 | initiated by power up | asserted. unknown chassis_control |  | asserted. unknown #0x17 |  | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted.,2020-05-06 04:09:55
01d65d7f72a7,35,2,17,33,0,0,2,0,17,17,17.0,17.0,17,31,31,31.0,31.0,31, processor cpu0_status | configuration error | asserted. memory cpu0a0_dimm_stat | uncorrectable ecc | asserted.,2020-11-21 17:33:00
01e9d5054c2a,35,2,22,20,0,0,1,0,22,19,20.5,20.5,19,39,18,28.5,28.5,18, memory cpu0a0_dimm_stat | correctable ecc | asserted.,2020-02-16 22:20:47
01f3b3f71d8b,35,1,13,19,0,0,1,0,4,4,4.0,4.0,4,18,18,18.0,18.0,18, processor cpu1_status | ierr | asserted.,2020-03-07 13:19:54
02214af9255e,35,19,13,56,0,0,3,0,13,13,13.0,13.0,13,56,54,55.21052631578947,55.0,55, memory cpu0d0_dimm_stat | uncorrectable ecc | asserted. memory cpu0d0_dimm_stat | correctable ecc | asserted. processor cpu0_status | configuration error | asserted.,2020-05-05 13:56:31
022744a139a6,49,1,4,46,0,0,1,0,2,2,2.0,2.0,2,45,45,45.0,45.0,45, processor cpu_caterr | state asserted | asserted.,2020-07-24 04:46:54
024101912048,23,11,11,37,0,0,5,0,11,11,11.0,11.0,11,37,36,36.81818181818182,37.0,37, memory cpu0f0_dimm_stat | uncorrectable ecc | asserted. processor cpu0_status | configuration error | asserted. unknown #0xc5 |  | asserted. processor cpu_caterr | state asserted | asserted. unknown #0x17 |  | asserted.,2020-07-04 11:37:49
0241539b62ad,23,1,16,33,0,0,1,0,15,15,15.0,15.0,15,31,31,31.0,31.0,31, processor cpu_caterr | state asserted | asserted.,2020-02-04 16:33:54
024c4749a0e3,27,1,3,17,0,0,1,0,2,2,2.0,2.0,2,48,48,48.0,48.0,48, drive slot / bay disk5_stat | drive fault | asserted.,2020-02-28 03:17:54
024e23730328,16,5,22,16,0,0,4,0,22,21,21.8,22.0,22,58,9,19.4,10.0,9, system boot initiated bios_boot_up | initiated by warm reset | asserted. system event #0x10 | timestamp clock sync | asserted. memory #0xf9 | uncorrectable ecc | asserted. os boot #0xe9 | boot completed - device not specified | asserted.,2020-10-09 22:16:04
02a80f530dec,50,2,21,8,0,0,1,0,21,20,20.5,20.5,20,58,5,31.5,31.5,5, memory #0xe2 | correctable ecc | asserted.,2020-02-02 21:08:15
02d5a67614ef,27,4,7,53,0,0,3,0,7,7,7.0,7.0,7,29,24,26.25,26.0,24, processor cpu1_status | configuration error | deasserted. system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu1_status | configuration error | asserted.,2020-10-26 07:53:55
0315e3cbb9a0,83,9,18,44,0,0,8,0,16,16,16.0,16.0,16,53,30,37.77777777777778,34.0,34, system event #0xff | timestamp clock sync | asserted. unknown cpu0 mcerr |  | deasserted. power unit pwr unit status | power off/down | deasserted. power unit pwr unit status | power off/down | asserted. unknown cpu0 caterr |  | asserted. unknown cpu0 caterr |  | deasserted. system boot initiated | initiated by power up | asserted. unknown cpu0 mcerr |  | asserted.,2020-09-28 18:44:54
033c5321b720,13,3,3,55,0,0,3,0,3,3,3.0,3.0,3,52,50,50.666666666666664,50.0,50, system boot initiated system restart | system restart | asserted. os boot bios_boot_up | boot completed - device not specified | asserted. memory mem_chd0_status | memory device disabled | asserted.,2020-10-25 03:55:53
033fbe8c691a,16,1,4,4,0,0,1,0,4,4,4.0,4.0,4,1,1,1.0,1.0,1, memory #0xf9 | correctable ecc | asserted.,2020-02-01 04:04:56
033fbe8c691a,16,2,16,17,0,0,1,0,16,15,15.5,15.5,15,27,16,21.5,21.5,16, memory #0xf9 | correctable ecc | asserted.,2020-04-28 16:17:47
035e7876c3f1,103,3,20,20,0,0,3,0,11,11,11.0,11.0,11,27,18,21.333333333333332,19.0,18, unknown #0x19 |  | asserted. oem record c3 | 000000 | 0203c0a80101. processor cpu_caterr | ierr | asserted.,2020-08-19 20:20:54
03604903eada,55,5,13,42,0,0,5,0,12,12,12.0,12.0,12,45,36,42.2,43.0,43, system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu1_status | ierr | deasserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu1_status | ierr | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted.,2020-04-07 13:42:54
03aabe9ae504,65,2,2,12,0,0,2,0,1,1,1.0,1.0,1,45,43,44.0,44.0,43, system boot initiated #0xe0 | initiated by power up | asserted. memory #0xe2 | uncorrectable ecc | asserted.,2020-03-04 02:12:55
03d298ddc8cc,68,2,11,26,0,0,2,0,11,11,11.0,11.0,11,8,6,7.0,7.0,6, memory #0xe2 | uncorrectable ecc | asserted. system boot initiated #0xe0 | initiated by power up | asserted.,2020-02-21 11:26:54
03dc478f8a3d,35,2,1,17,0,0,2,0,1,1,1.0,1.0,1,16,16,16.0,16.0,16, memory cpu0b0_dimm_stat | uncorrectable ecc | asserted. processor cpu1_status | configuration error | asserted.,2020-08-08 01:17:51
03de6d55c340,49,2,17,40,0,0,2,0,16,16,16.0,16.0,16,29,13,21.0,21.0,13, system boot initiated #0xe0 | initiated by power up | asserted. processor #0xe4 | configuration error | asserted.,2020-05-22 17:40:54
03fa12cac8e2,16,2,1,23,0,0,2,0,1,0,0.5,0.5,0,57,1,29.0,29.0,1, memory #0xf9 | uncorrectable ecc | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted.,2020-01-07 01:23:54
0406fac8a123,49,2,7,49,0,0,2,0,6,6,6.0,6.0,6,46,46,46.0,46.0,46, unknown #0xc5 |  | asserted. processor cpu_caterr | state asserted | asserted.,2020-02-06 07:49:56
040bce42108a,83,2,15,43,0,0,2,0,13,13,13.0,13.0,13,39,39,39.0,39.0,39, unknown cpu0 mcerr |  | asserted. unknown cpu0 caterr |  | asserted.,2020-01-27 15:43:57
042a0abc63b7,35,3,21,19,0,0,3,0,20,20,20.0,20.0,20,13,12,12.333333333333334,12.0,12, management subsys health system_health | sensor access degraded or unavailable | asserted. processor cpu0_status | ierr | asserted. processor cpu1_status | ierr | asserted.,2020-09-21 21:19:54
0437974255e9,35,11,18,14,0,0,3,0,12,0,6.909090909090909,8.0,8,46,6,24.818181818181817,29.0,6, memory cpu1e0_dimm_stat | correctable ecc | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. memory cpu1f0_dimm_stat | correctable ecc | asserted.,2020-09-10 18:14:50
0437ab217bf8,51,2,12,19,0,0,2,0,11,11,11.0,11.0,11,8,6,7.0,7.0,6, memory #0xe2 | uncorrectable ecc | asserted. system boot initiated #0xe0 | initiated by power up | asserted.,2020-01-15 12:19:53
043a428383ab,100,2,3,8,0,0,1,0,3,1,2.0,2.0,1,46,6,26.0,26.0,6, memory memory_status | correctable ecc | asserted.,2020-02-18 03:08:31
044c97b0c918,23,6,9,18,0,0,6,0,0,0,0.0,0.0,0,25,16,23.5,25.0,25, processor cpu_caterr | state asserted | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. processor cpu1_status | presence detected | asserted. processor cpu0_status | presence detected | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. processor cpu_caterr | state deasserted | asserted.,2020-01-12 09:18:56
046638a6a0cf,16,2,9,18,0,0,2,0,2,2,2.0,2.0,2,13,12,12.5,12.5,12, system boot initiated bios_boot_up | initiated by warm reset | asserted. os boot #0xe9 | boot completed - device not specified | asserted.,2020-03-15 09:18:54
046aca4b871a,27,1,18,38,0,0,1,0,10,10,10.0,10.0,10,39,39,39.0,39.0,39, memory cpu0c0_dimm_stat | correctable ecc | asserted.,2020-06-07 18:38:21
047a3b61d7e8,19,1,7,55,0,0,1,0,7,7,7.0,7.0,7,51,51,51.0,51.0,51, memory #0xf9 | correctable ecc | asserted.,2020-04-11 07:55:48
049f87bf7bea,17,1,19,28,0,0,1,0,19,19,19.0,19.0,19,27,27,27.0,27.0,27, memory #0xf9 | uncorrectable ecc | asserted.,2020-10-11 19:28:33
049f87bf7bea,17,2,12,31,0,0,1,0,12,10,11.0,11.0,10,30,26,28.0,28.0,26, memory #0xf9 | correctable ecc | asserted.,2020-11-08 12:31:30
04c285d9aa84,51,2,6,28,0,0,2,0,6,6,6.0,6.0,6,27,27,27.0,27.0,27, memory #0xe2 | uncorrectable ecc | asserted. processor #0xe4 | configuration error | asserted.,2020-07-26 06:28:43
04cfc3fe40c8,51,4,15,39,0,0,1,0,15,15,15.0,15.0,15,38,34,36.25,36.5,34, memory #0xe2 | correctable ecc | asserted.,2020-10-04 15:39:07
04e3263c8f31,92,7,17,54,0,0,5,0,17,17,17.0,17.0,17,30,24,27.714285714285715,30.0,30, system boot initiated #0xb8 | initiated by warm reset | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. unknown chassis_control |  | asserted. power unit power unit | power off/down | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,2020-03-14 17:54:54
04fc9a006d6e,23,2,23,24,0,0,1,0,23,23,23.0,23.0,23,24,24,24.0,24.0,24, processor cpu0_status | configuration error | asserted.,2020-11-12 23:24:56
054b6ad4c4c2,55,8,17,43,0,0,4,0,16,9,12.5,12.5,9,41,1,20.75,20.5,1," power supply ps1_status | ac out-of-range, but present | asserted. power supply ps1_status | ac out-of-range, but present | deasserted. power supply ps1_status | power supply ac lost | asserted. power supply ps1_status | power supply ac lost | deasserted.",2020-06-04 17:43:55
0576714d2b3c,99,1,15,24,0,0,1,0,15,15,15.0,15.0,15,16,16,16.0,16.0,16, memory memory_status | correctable ecc | asserted.,2020-09-26 15:24:27
058473fcd7a3,6,1,18,26,0,0,1,0,18,18,18.0,18.0,18,6,6,6.0,6.0,6, memory dimm010 | correctable ecc logging limit reached | asserted.,2020-01-06 18:26:30
0588ef9257aa,35,2,11,2,0,0,1,0,11,3,7.0,7.0,3,25,1,13.0,13.0,1, memory cpu1a0_dimm_stat | correctable ecc | asserted.,2020-05-12 11:02:32
05aceb8f3b0f,23,1,0,41,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,,2020-03-16 00:41:54
05bf169ad0f9,103,23,18,30,0,0,1,0,10,10,10.0,10.0,10,55,1,39.0,32.0,30, memory #0x99 | correctable ecc | asserted.,2020-02-25 18:30:17
05cc397e8d63,14,1,8,47,0,0,1,0,8,8,8.0,8.0,8,11,11,11.0,11.0,11, power supply psu0_supply | failure detected | asserted.,2020-02-27 08:47:40
05ee961d9832,83,2,4,35,0,0,2,0,3,3,3.0,3.0,3,20,20,20.0,20.0,20, unknown cpu0 caterr |  | asserted. unknown cpu0 mcerr |  | asserted.,2020-10-28 04:35:55
061391837747,23,2,17,21,0,0,1,0,17,16,16.5,16.5,16,41,20,30.5,30.5,20, memory cpu1e0_dimm_stat | correctable ecc | asserted.,2020-04-28 17:21:12
062e38d099c8,67,3,21,5,0,0,2,0,20,20,20.0,20.0,20,58,53,55.0,54.0,53, memory #0xe2 | uncorrectable ecc | asserted. system boot initiated #0xe0 | initiated by power up | asserted.,2020-08-05 21:05:15
063cd0f3f495,51,4,15,54,0,0,3,0,15,15,15.0,15.0,15,52,50,51.5,52.0,52, memory #0xe2 | uncorrectable ecc | asserted. unknown #0xc5 |  | asserted. processor cpu_caterr | state asserted | asserted.,2020-10-11 15:54:13
0644b62e93bf,14,2,17,3,0,0,2,0,9,9,9.0,9.0,9,24,23,23.5,23.5,23, power supply psu0_supply | failure detected | deasserted. power supply psu0_supply | power supply ac lost | asserted.,2020-10-04 17:03:37
064d8eeeb721,16,6,16,29,0,0,6,0,8,8,8.0,8.0,8,49,6,34.333333333333336,48.0,6, processor #0xfa | configuration error | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system event #0x10 | timestamp clock sync | asserted. processor cpu_caterr | state asserted | asserted. processor cpu_caterr | state deasserted | asserted.,2020-11-10 16:29:56
065e3aa51071,23,2,13,8,0,0,2,0,12,12,12.0,12.0,12,7,6,6.5,6.5,6, unknown #0x17 |  | asserted. processor cpu_caterr | state asserted | asserted.,2020-08-09 13:08:55
065f0f566fe3,35,2,15,20,0,0,2,0,14,14,14.0,14.0,14,18,16,17.0,17.0,16, processor cpu0_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted.,2020-10-03 15:20:54
066a072db209,28,5,18,23,0,0,5,0,17,16,16.8,17.0,17,59,17,25.8,17.0,17, processor cpu_caterr | state asserted | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. processor cpu_caterr | state deasserted | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,2020-02-25 18:23:53
06a514b6a557,19,1,4,38,0,0,1,0,3,3,3.0,3.0,3,41,41,41.0,41.0,41, memory #0xf9 | correctable ecc | asserted.,2020-05-26 04:38:09
06b5763fc72b,85,7,4,56,0,0,7,0,3,3,3.0,3.0,3,47,40,43.857142857142854,45.0,45, processor cpu0_status | uncorrectable machine check exception | deasserted. processor cpu0_status | uncorrectable machine check exception | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. microcontroller #0x16 | transition to running | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted.,2020-01-23 04:56:55
06b5c0234366,28,2,9,48,0,0,1,0,9,9,9.0,9.0,9,47,47,47.0,47.0,47, memory cpu0c0_dimm_stat | correctable ecc | asserted.,2020-07-06 09:48:42
06cbd32fa8d3,53,4,14,26,0,0,4,0,13,13,13.0,13.0,13,57,56,56.25,56.0,56, drive slot / bay hdd_r_28_status | drive present | asserted. drive slot / bay hdd_l_3_status | drive fault | deasserted. drive slot / bay hdd_l_3_status | drive fault | asserted. drive slot / bay hdd_r_28_status | drive present | deasserted.,2020-07-16 14:26:54
06f877a440ec,63,2,20,43,0,0,2,0,18,18,18.0,18.0,18,35,35,35.0,35.0,35, oem cpu0 caterr |  | asserted. oem cpu0 mcerr |  | asserted.,2020-02-16 20:43:54
0719ba704cac,6,1,1,59,0,0,1,0,1,1,1.0,1.0,1,35,35,35.0,35.0,35, system boot initiated sysrestart | system restart | asserted.,2020-02-26 01:59:54
07206227d0cc,19,5,3,55,0,0,4,0,3,3,3.0,3.0,3,32,31,31.6,32.0,32, system event #0x10 | timestamp clock sync | asserted. system firmwares #0xe6 | unrecoverable ide device failure | asserted. os boot #0xe9 | boot completed - device not specified | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted.,2020-05-22 03:55:55
07354c31bce0,23,2,5,55,0,0,2,0,5,5,5.0,5.0,5,53,52,52.5,52.5,52, memory cpu0e0_dimm_stat | correctable ecc | asserted. memory cpu0e1_dimm_stat | correctable ecc | asserted.,2020-07-30 05:55:20
0736dc397a4b,53,2,20,18,0,0,2,0,19,19,19.0,19.0,19,48,48,48.0,48.0,48, drive slot / bay hdd_l_9_status | drive fault | asserted. drive slot / bay hdd_l_9_status | drive fault | deasserted.,2020-09-04 20:18:56
073dd3a2366b,28,5,16,19,0,0,5,0,15,15,15.0,15.0,15,21,10,15.2,15.0,15, processor cpu_caterr | state deasserted | asserted. processor cpu_caterr | state asserted | asserted. system acpi power state acpi_pwr_status | s4/s5: soft-off | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted.,2020-08-13 16:19:54
076c32ce7f3c,53,2,17,58,0,0,2,0,17,17,17.0,17.0,17,28,27,27.5,27.5,27, drive slot / bay hdd_r_10_status | drive fault | deasserted. drive slot / bay hdd_r_10_status | drive fault | asserted.,2020-06-11 17:58:54
0774d4bc2033,23,2,17,44,0,0,1,0,17,11,14.0,14.0,11,44,3,23.5,23.5,3, memory cpu0b0_dimm_stat | correctable ecc | asserted.,2020-04-01 17:44:34
07a6764574d3,54,2,21,42,0,0,1,0,21,14,17.5,17.5,14,54,39,46.5,46.5,39, memory cpu0e0_dimm_stat | correctable ecc | asserted.,2020-08-09 21:42:55
07a92693b9fa,50,2,13,48,0,0,1,0,13,12,12.5,12.5,12,42,4,23.0,23.0,4, memory #0xe2 | correctable ecc | asserted.,2020-11-12 13:48:52
07aca31e3c6a,83,2,17,17,0,0,2,0,15,15,15.0,15.0,15,25,25,25.0,25.0,25, unknown cpu0 mcerr |  | asserted. unknown cpu0 caterr |  | asserted.,2020-01-18 17:17:54
07dbfe448d58,35,2,4,40,0,0,1,0,4,4,4.0,4.0,4,39,4,21.5,21.5,4, memory cpu1f0_dimm_stat | correctable ecc | asserted.,2020-04-28 04:40:31
081aab69aa54,13,1,14,29,0,0,1,0,14,14,14.0,14.0,14,10,10,10.0,10.0,10, event logging disabled sel_status | log area reset/cleared | asserted.,2020-08-15 14:29:56
081cf524fd64,39,1,9,51,0,0,1,0,9,9,9.0,9.0,9,15,15,15.0,15.0,15, power supply ps2_status | failure detected | asserted.,2020-05-23 09:51:04
084df8cdbe98,68,1,21,38,0,0,1,0,21,21,21.0,21.0,21,19,19,19.0,19.0,19, memory #0xe2 | correctable ecc | asserted.,2019-12-28 21:38:09
085a2bdc74ef,100,5,14,4,0,0,1,0,14,14,14.0,14.0,14,3,2,2.6,3.0,3, memory memory_status | correctable ecc | asserted.,2020-10-12 14:04:01
085bb85412b8,16,6,1,18,0,1,5,0,0,0,0.0,0.0,0,16,15,15.166666666666666,15.0,15, microcontroller/coprocessor bmc_boot_up | device enabled. microcontroller bmc_boot_up | device enabled | asserted. system acpi power state acpi_pwr_status | s0/g0: working | asserted. power supply ps2_status | presence detected | asserted. microcontroller/coprocessor bmc_boot_up | device enabled | asserted. power supply ps1_status | presence detected | asserted.,2020-04-15 01:18:18
0869943930b0,35,3,12,50,0,0,3,0,11,11,11.0,11.0,11,51,49,49.666666666666664,49.0,49, processor cpu0_status | ierr | asserted. management subsys health system_health | sensor access degraded or unavailable | asserted. processor cpu1_status | ierr | asserted.,2020-04-01 12:50:59
0873e5c366db,19,1,10,50,0,0,1,0,10,10,10.0,10.0,10,14,14,14.0,14.0,14, power supply ps2_status | failure detected | asserted.,2020-03-04 10:50:29
088385871684,35,1,14,18,0,0,1,0,14,14,14.0,14.0,14,16,16,16.0,16.0,16, memory cpu0a0_dimm_stat | memory device disabled | asserted.,2020-04-17 14:18:01
08844131075f,16,1,21,56,0,0,1,0,15,15,15.0,15.0,15,19,19,19.0,19.0,19, event logging disabled sel_status | log area reset/cleared | asserted.,2020-07-22 21:56:37
08aa8b3f18e6,35,12,16,25,0,0,1,0,11,2,6.583333333333333,6.0,6,45,0,24.666666666666668,22.0,16, memory cpu1a0_dimm_stat | correctable ecc | asserted.,2020-08-08 16:25:20
08b9287f58ac,99,4,10,40,0,0,3,0,10,10,10.0,10.0,10,37,31,34.25,34.5,37, memory memory_status | uncorrectable ecc | asserted. memory memory_status | correctable ecc | asserted. system boot initiated bios_boot_up | initiated by warm reset | asserted.,2020-05-04 10:40:29
08bc5fb82a43,19,1,21,39,0,0,1,0,20,20,20.0,20.0,20,14,14,14.0,14.0,14, memory #0xf9 | correctable ecc | asserted.,2020-03-06 21:39:39
08ca717b88d8,68,1,7,35,0,0,1,0,7,7,7.0,7.0,7,30,30,30.0,30.0,30, memory #0xe2 | correctable ecc | asserted.,2020-07-13 07:35:42
08cc73b554a6,103,2,14,28,0,0,1,0,14,1,7.5,7.5,1,27,27,27.0,27.0,27, memory #0x96 | correctable ecc | asserted.,2020-05-15 14:28:03
08d06b941849,63,9,7,11,0,0,8,0,5,5,5.0,5.0,5,45,18,26.88888888888889,22.0,22, unknown cpu0 caterr |  | deasserted. system event #0xff | timestamp clock sync | asserted. power unit pwr unit status | power off/down | asserted. unknown cpu0 caterr |  | asserted. power unit pwr unit status | power off/down | deasserted. unknown cpu0 mcerr |  | deasserted. system boot initiated | initiated by power up | asserted. unknown cpu0 mcerr |  | asserted.,2020-07-23 07:11:54
08f7f3a296ef,40,5,14,31,0,0,5,0,13,13,13.0,13.0,13,35,28,30.8,28.0,28, processor cpu0_status | uncorrectable machine check exception | asserted. system boot initiated bios_boot_up | initiated by power up | asserted. processor cpu1_status | uncorrectable machine check exception | asserted. processor cpu0_status | configuration error | asserted. processor cpu1_status | configuration error | asserted.,2020-08-13 14:31:54
09242393503c,23,2,11,30,0,0,2,0,2,2,2.0,2.0,2,29,29,29.0,29.0,29, unknown #0x17 |  | asserted. processor cpu_caterr | state asserted | asserted.,2020-04-30 11:30:54
0931894ee674,13,1,2,54,0,0,1,0,2,2,2.0,2.0,2,6,6,6.0,6.0,6, memory mem_chg0_status | correctable ecc | asserted.,2020-05-13 02:54:07
093f409fdfd8,16,2,1,42,0,0,2,0,1,1,1.0,1.0,1,40,36,38.0,38.0,36, system boot initiated bios_boot_up | initiated by warm reset | asserted. memory #0xf9 | uncorrectable ecc | asserted.,2020-08-06 01:42:56
09504d5c7e22,16,2,18,37,0,0,1,0,18,18,18.0,18.0,18,33,11,22.0,22.0,11, memory #0xf9 | correctable ecc | asserted.,2020-09-28 18:37:38
