sn,fault_time,label
SERVER_10102,2020/6/14 13:56,2
SERVER_10102,2020/7/9 8:43,2
SERVER_10103,2020/3/30 9:35,2
SERVER_10103,2020/4/7 14:06,2
SERVER_10104,2020/9/19 14:23,2
SERVER_10106,2020/5/22 2:20,2
SERVER_10106,2020/7/23 20:22,0
SERVER_10107,2020/5/11 9:09,2
SERVER_10108,2020/4/16 9:41,2
SERVER_10108,2020/4/22 14:22,2
SERVER_10108,2020/5/2 14:44,2
SERVER_10108,2020/5/2 14:47,2
SERVER_10109,2020/8/11 10:33,2
SERVER_10109,2020/8/11 15:35,2
SERVER_10110,2020/5/17 18:18,2
SERVER_10110,2020/5/17 18:22,2
SERVER_10110,2020/5/17 18:24,2
SERVER_10111,2020/4/28 12:16,2
SERVER_10111,2020/5/6 15:46,2
SERVER_10111,2020/5/6 15:51,2
SERVER_10112,2020/3/12 13:23,2
SERVER_10112,2020/4/9 9:50,2
SERVER_10114,2020/5/3 11:15,2
SERVER_10114,2020/5/3 12:10,2
SERVER_10114,2020/5/3 12:15,2
SERVER_10116,2020/5/12 14:00,2
SERVER_10117,2020/9/15 9:39,2
SERVER_10120,2020/9/1 17:33,2
SERVER_10121,2020/2/29 21:50,2
SERVER_10121,2020/2/29 22:52,2
SERVER_10122,2020/3/22 23:06,2
SERVER_10123,2020/7/5 10:41,2
SERVER_10126,2020/5/22 10:41,2
SERVER_10126,2020/11/12 16:37,1
SERVER_10127,2020/5/9 23:29,2
SERVER_10127,2020/7/10 13:24,2
SERVER_10127,2020/8/14 15:46,2
SERVER_10128,2020/8/19 20:30,2
SERVER_10128,2020/8/19 21:39,1
SERVER_10128,2020/8/31 12:34,2
SERVER_10129,2020/9/8 5:52,2
SERVER_10129,2020/9/8 21:17,2
SERVER_10132,2020/3/30 7:21,2
SERVER_10135,2020/9/17 6:32,2
SERVER_10139,2020/11/20 17:49,2
SERVER_10141,2020/3/26 12:43,2
SERVER_10142,2020/6/27 21:07,2
SERVER_10142,2020/9/21 11:05,2
SERVER_10144,2020/3/13 18:24,2
SERVER_10145,2020/4/24 13:49,2
SERVER_10146,2020/8/26 7:24,2
SERVER_10146,2020/11/5 7:12,2
SERVER_10147,2020/4/20 16:57,2
SERVER_10148,2020/3/28 22:14,2
SERVER_10148,2020/3/30 22:24,2
SERVER_10152,2020/6/16 21:42,0
SERVER_10153,2020/5/7 20:29,2
SERVER_10153,2020/5/9 20:44,2
SERVER_10153,2020/5/9 20:47,2
SERVER_10156,2020/8/9 19:11,2
SERVER_10157,2020/4/22 18:44,2
SERVER_10157,2020/4/22 19:44,2
SERVER_10158,2020/5/12 8:52,2
SERVER_10160,2020/10/8 10:28,2
SERVER_10161,2020/5/22 22:33,2
SERVER_10163,2020/4/20 16:42,2
SERVER_10164,2020/5/1 13:21,2
SERVER_10164,2020/5/1 13:25,3
SERVER_10165,2020/9/19 12:48,2
SERVER_10165,2020/9/19 21:59,2
SERVER_10166,2020/4/14 10:26,2
SERVER_10167,2020/3/13 18:21,2
SERVER_10167,2020/3/13 18:25,2
SERVER_10168,2020/3/4 1:11,2
SERVER_10168,2020/9/9 12:54,2
SERVER_10170,2020/4/22 14:37,2
SERVER_10170,2020/4/22 14:41,2
SERVER_10170,2020/4/22 14:43,2
SERVER_10171,2020/4/24 10:11,2
SERVER_10172,2020/5/6 14:29,2
SERVER_10172,2020/5/13 20:47,2
SERVER_10173,2020/4/20 8:18,2
SERVER_10173,2020/4/22 11:37,2
SERVER_10173,2020/5/1 13:54,2
SERVER_10174,2020/3/7 14:18,2
SERVER_10176,2020/6/17 16:06,2
SERVER_10177,2020/5/20 9:03,2
SERVER_10180,2020/9/14 8:50,0
SERVER_10182,2020/5/1 16:06,2
SERVER_10185,2020/1/31 18:00,2
SERVER_10186,2020/5/1 18:15,2
SERVER_10186,2020/5/1 18:19,2
SERVER_10186,2020/5/9 14:44,2
SERVER_10186,2020/5/9 14:48,2
SERVER_10187,2020/9/8 18:26,2
SERVER_10189,2020/5/12 22:31,2
SERVER_1019,2020/7/9 16:38,3
SERVER_10190,2020/8/21 14:23,2
SERVER_10191,2020/1/21 8:28,2
SERVER_10191,2020/6/26 10:50,2
SERVER_10193,2020/2/14 23:08,2
SERVER_10194,2020/9/2 20:56,2
SERVER_10194,2020/9/2 23:21,2
SERVER_10194,2020/9/3 15:06,2
SERVER_10197,2020/5/1 14:50,2
SERVER_10197,2020/5/14 0:02,2
SERVER_10197,2020/5/14 10:47,2
SERVER_10198,2020/5/24 11:45,1
SERVER_10199,2020/4/30 11:31,2
SERVER_10199,2020/4/30 12:46,2
SERVER_10199,2020/4/30 12:53,2
SERVER_102,2020/3/6 2:22,1
SERVER_102,2020/3/10 2:27,1
SERVER_102,2020/3/31 19:13,2
SERVER_1020,2020/7/2 21:43,3
SERVER_10200,2020/5/16 6:42,2
SERVER_10200,2020/5/18 7:51,2
SERVER_10203,2020/6/17 20:15,2
SERVER_10203,2020/7/5 14:09,2
SERVER_10204,2020/3/20 10:17,2
SERVER_10204,2020/3/20 10:20,2
SERVER_10206,2020/2/1 13:03,2
SERVER_10206,2020/2/16 11:10,2
SERVER_10206,2020/6/16 20:43,2
SERVER_10206,2020/9/20 21:48,2
SERVER_10208,2020/9/15 16:13,2
SERVER_10209,2020/8/9 8:17,2
SERVER_1021,2020/3/30 14:01,2
SERVER_1021,2020/4/1 22:34,2
SERVER_10210,2020/9/6 7:32,2
SERVER_10210,2020/9/16 2:34,2
SERVER_10210,2020/11/21 16:36,2
SERVER_10211,2020/7/27 22:12,2
SERVER_10212,2020/5/13 21:49,2
SERVER_10212,2020/8/4 21:21,2
SERVER_10215,2020/9/2 17:50,2
SERVER_10215,2020/9/2 19:18,2
SERVER_10215,2020/9/18 3:50,2
SERVER_10216,2020/4/23 11:36,2
SERVER_10216,2020/4/23 11:46,2
SERVER_10216,2020/4/24 12:11,2
SERVER_10217,2020/3/19 0:48,2
SERVER_10217,2020/3/19 10:28,2
SERVER_10218,2020/5/14 13:44,2
SERVER_10219,2020/3/25 12:47,2
SERVER_10219,2020/3/28 13:58,2
SERVER_1022,2020/9/15 6:42,2
SERVER_10222,2020/7/8 12:45,1
SERVER_10223,2020/3/11 20:55,2
SERVER_10224,2020/8/19 20:23,2
SERVER_10225,2020/4/30 9:00,2
SERVER_10225,2020/4/30 9:04,2
SERVER_10225,2020/4/30 9:10,2
SERVER_10226,2020/5/12 11:40,2
SERVER_10226,2020/5/23 20:16,1
SERVER_10226,2020/9/2 18:12,2
SERVER_10227,2020/10/19 0:38,1
SERVER_10228,2020/11/7 11:10,1
SERVER_10230,2020/8/12 21:10,2
SERVER_10231,2020/6/25 23:26,2
SERVER_10232,2020/4/13 19:06,2
SERVER_10232,2020/9/19 4:58,2
SERVER_10234,2020/5/4 19:16,2
SERVER_10234,2020/5/6 6:44,2
SERVER_10234,2020/5/6 6:52,2
SERVER_10235,2020/8/9 14:35,2
SERVER_10236,2020/9/10 15:31,2
SERVER_10239,2020/8/15 16:19,2
SERVER_10242,2020/8/28 20:18,2
SERVER_10243,2020/8/10 8:01,2
SERVER_10243,2020/8/29 16:20,2
SERVER_10245,2020/5/2 10:52,2
SERVER_10246,2020/7/1 2:55,2
SERVER_10247,2020/3/8 5:00,2
SERVER_10247,2020/5/13 21:45,2
SERVER_10251,2020/6/19 14:29,2
SERVER_10251,2020/11/15 23:59,2
SERVER_10253,2020/8/8 17:31,2
SERVER_10253,2020/9/9 23:19,2
SERVER_10254,2020/1/31 17:36,2
SERVER_10254,2020/9/19 9:07,2
SERVER_10255,2020/4/2 18:56,2
SERVER_10255,2020/4/4 19:04,2
SERVER_10256,2020/5/25 3:42,2
SERVER_10256,2020/7/24 0:14,2
SERVER_10261,2020/5/9 13:32,2
SERVER_10261,2020/5/14 14:31,2
SERVER_10263,2020/4/23 11:27,2
SERVER_10265,2020/7/13 22:27,2
SERVER_10266,2020/11/14 10:55,1
SERVER_10269,2020/2/13 1:11,2
SERVER_10270,2020/5/22 21:27,2
SERVER_10271,2020/4/3 3:27,2
SERVER_10272,2020/1/13 18:42,1
SERVER_10277,2020/4/24 14:27,2
SERVER_10279,2020/10/4 13:43,2
SERVER_1028,2020/7/16 18:21,3
SERVER_10281,2020/7/4 22:26,2
SERVER_10281,2020/7/5 2:09,2
SERVER_10282,2020/9/18 21:45,2
SERVER_10284,2020/3/2 14:48,2
SERVER_10287,2020/8/30 18:12,2
SERVER_10288,2020/1/18 9:33,2
SERVER_10291,2020/9/3 10:13,2
SERVER_10293,2020/5/15 14:21,2
SERVER_10293,2020/8/13 1:54,2
SERVER_10295,2020/9/19 7:44,2
SERVER_10299,2020/6/15 16:12,2
SERVER_10299,2020/9/4 12:07,2
SERVER_10300,2020/2/1 15:05,2
SERVER_10303,2020/1/15 7:46,1
SERVER_10305,2020/8/26 13:42,1
SERVER_10305,2020/8/29 21:40,1
SERVER_10306,2020/11/12 7:13,2
SERVER_10308,2020/1/24 15:00,3
SERVER_10308,2020/3/13 7:32,3
SERVER_10309,2020/9/2 15:25,2
SERVER_10309,2020/9/5 0:44,2
SERVER_10310,2020/8/13 22:37,2
SERVER_10310,2020/8/15 18:26,2
SERVER_10313,2020/11/8 12:22,2
SERVER_10314,2020/9/26 5:29,2
SERVER_10314,2020/9/26 18:56,3
SERVER_10315,2020/3/5 13:44,3
SERVER_10315,2020/3/10 14:34,3
SERVER_10316,2020/6/10 17:54,2
SERVER_10316,2020/8/5 10:15,1
SERVER_10317,2020/5/15 10:57,3
SERVER_10317,2020/6/2 23:18,3
SERVER_10318,2020/10/17 17:40,2
SERVER_10319,2020/3/16 19:30,2
SERVER_10323,2020/5/30 18:57,3
SERVER_10327,2020/3/22 3:58,2
SERVER_10331,2020/9/23 4:39,1
SERVER_10332,2020/9/29 18:57,1
SERVER_10333,2020/9/14 11:29,2
SERVER_10333,2020/9/14 15:38,1
SERVER_10334,2020/4/11 17:08,1
SERVER_10335,2020/2/15 0:36,1
SERVER_10336,2020/2/23 14:42,2
SERVER_10338,2020/5/20 12:11,1
SERVER_10338,2020/6/27 18:24,1
SERVER_10340,2020/6/18 11:45,0
SERVER_10341,2020/6/1 1:09,1
SERVER_10345,2020/4/15 0:07,2
SERVER_10346,2020/1/9 23:34,1
SERVER_1035,2020/5/18 2:58,2
SERVER_10351,2020/4/17 17:20,1
SERVER_10353,2020/7/26 9:31,1
SERVER_10353,2020/8/1 13:07,1
SERVER_10356,2020/2/11 19:08,1
SERVER_10358,2020/3/18 23:23,2
SERVER_10358,2020/9/23 21:36,2
SERVER_10363,2020/7/28 21:24,1
SERVER_10364,2020/6/8 8:04,1
SERVER_1037,2020/6/4 2:53,2
SERVER_10370,2020/6/21 0:24,3
SERVER_10372,2020/7/22 15:06,3
SERVER_10372,2020/11/23 16:51,3
SERVER_10373,2020/8/6 8:04,3
SERVER_10374,2020/3/31 9:50,3
SERVER_10378,2020/1/17 3:35,3
SERVER_10381,2020/4/4 11:10,3
SERVER_10384,2020/5/29 14:51,3
SERVER_10386,2020/4/6 14:23,3
SERVER_10387,2020/1/5 15:38,3
SERVER_10387,2020/7/13 17:23,3
SERVER_10388,2020/10/5 18:17,3
SERVER_10388,2020/10/18 14:27,3
SERVER_10389,2020/7/28 3:22,3
SERVER_1039,2020/7/6 22:44,3
SERVER_10391,2020/2/26 10:03,3
SERVER_10391,2020/2/26 10:03,3
SERVER_10392,2020/4/19 14:21,3
SERVER_10393,2020/10/2 15:38,3
SERVER_10395,2020/3/25 21:58,3
SERVER_10398,2020/9/26 23:11,3
SERVER_10402,2020/4/1 10:41,3
SERVER_10408,2020/6/17 2:30,2
SERVER_10408,2020/9/25 0:59,3
SERVER_10409,2020/7/17 15:13,3
SERVER_1041,2020/1/20 4:31,2
SERVER_1041,2020/1/20 5:33,2
SERVER_1041,2020/4/8 19:47,2
SERVER_10410,2020/5/3 14:33,3
SERVER_10410,2020/5/3 14:33,3
SERVER_10413,2020/8/23 18:02,3
SERVER_10417,2020/9/2 10:26,3
SERVER_1042,2020/9/7 19:12,2
SERVER_10421,2020/3/21 15:23,1
SERVER_10422,2020/1/21 13:25,3
SERVER_10424,2020/3/30 8:16,3
SERVER_10426,2020/3/24 17:58,3
SERVER_10428,2020/1/25 20:31,3
SERVER_10432,2020/8/5 10:44,3
SERVER_10434,2020/3/27 10:39,3
SERVER_10435,2020/3/24 22:29,1
SERVER_10436,2020/11/1 13:34,1
SERVER_10438,2020/1/24 11:41,1
SERVER_10439,2020/6/29 20:57,1
SERVER_1044,2020/4/15 2:44,2
SERVER_1044,2020/8/1 14:46,2
SERVER_10443,2020/1/14 18:26,3
SERVER_10445,2020/3/21 23:27,0
SERVER_10446,2020/11/11 19:43,1
SERVER_10448,2020/9/18 21:01,0
SERVER_10450,2020/9/1 13:40,1
SERVER_10453,2020/10/22 8:15,2
SERVER_10454,2020/10/14 9:53,2
SERVER_10455,2020/8/13 8:11,2
SERVER_10455,2020/8/14 13:44,2
SERVER_10456,2020/7/26 18:53,2
SERVER_10459,2020/10/1 5:54,0
SERVER_1046,2020/7/22 2:56,1
SERVER_1046,2020/7/22 4:15,2
SERVER_10461,2020/6/17 7:44,2
SERVER_10463,2020/1/9 23:33,1
SERVER_10464,2020/7/31 15:08,1
SERVER_10464,2020/8/20 15:54,1
SERVER_10465,2020/10/3 17:06,3
SERVER_10466,2020/10/2 9:17,0
SERVER_10468,2020/11/2 0:37,2
SERVER_10468,2020/11/2 0:47,2
SERVER_10471,2019/12/31 7:24,3
SERVER_10472,2020/1/29 20:25,1
SERVER_10473,2020/10/28 9:35,0
SERVER_10474,2020/2/22 12:52,1
SERVER_10475,2020/5/15 1:38,1
SERVER_10476,2020/9/1 22:36,2
SERVER_10476,2020/9/1 22:39,2
SERVER_10476,2020/9/1 23:50,1
SERVER_10478,2020/9/18 17:27,1
SERVER_10479,2020/2/15 1:39,2
SERVER_10480,2020/5/9 11:03,2
SERVER_10480,2020/5/9 12:50,1
SERVER_10481,2020/1/11 16:46,1
SERVER_10483,2020/4/26 11:43,2
SERVER_10483,2020/4/26 13:03,1
SERVER_10484,2019/12/28 9:53,2
SERVER_10484,2020/1/18 16:18,2
SERVER_10485,2020/6/2 17:14,0
SERVER_10487,2020/11/19 13:52,2
SERVER_10488,2020/5/6 13:47,2
SERVER_10492,2020/1/25 17:46,1
SERVER_10492,2020/6/1 12:16,1
SERVER_1050,2020/2/21 21:38,2
SERVER_10500,2020/4/29 17:30,1
SERVER_10501,2020/2/10 9:55,0
SERVER_10503,2020/6/24 11:11,2
SERVER_10504,2020/5/10 16:10,0
SERVER_10505,2020/8/29 13:44,1
SERVER_10506,2020/4/20 23:30,1
SERVER_10507,2020/9/22 16:46,1
SERVER_10509,2020/5/27 5:24,1
SERVER_10510,2020/5/16 7:30,1
SERVER_10511,2020/7/19 21:01,2
SERVER_10513,2020/11/11 16:47,2
SERVER_10514,2020/2/20 1:27,2
SERVER_10515,2020/4/24 0:38,2
SERVER_10516,2020/2/24 16:03,0
SERVER_10517,2020/6/28 20:31,1
SERVER_10518,2020/5/17 16:22,1
SERVER_1052,2020/1/15 14:42,2
SERVER_10520,2020/2/1 15:42,1
SERVER_10523,2020/3/20 3:12,2
SERVER_10527,2020/2/7 1:11,2
SERVER_10528,2020/9/23 0:06,2
SERVER_10529,2020/11/16 16:26,1
SERVER_1053,2020/8/25 9:48,2
SERVER_10530,2020/11/11 15:53,1
SERVER_10532,2020/11/13 6:41,2
SERVER_10532,2020/11/13 12:19,1
SERVER_10533,2020/9/12 5:04,2
SERVER_10533,2020/9/12 6:41,1
SERVER_10534,2020/9/1 13:37,2
SERVER_10535,2020/3/30 8:16,2
SERVER_10537,2020/7/31 8:57,2
SERVER_1054,2020/10/7 16:54,2
SERVER_10541,2020/5/27 16:00,2
SERVER_10542,2020/7/26 19:23,2
SERVER_10542,2020/7/28 2:32,2
SERVER_10545,2020/7/4 20:41,2
SERVER_10545,2020/7/6 6:39,2
SERVER_10546,2020/9/19 12:58,2
SERVER_10546,2020/9/19 16:05,2
SERVER_10550,2020/9/2 16:35,2
SERVER_10550,2020/9/3 20:34,2
SERVER_10550,2020/9/3 21:32,2
SERVER_10553,2020/6/27 20:26,2
SERVER_10553,2020/6/29 7:36,1
SERVER_10555,2020/6/12 9:42,2
SERVER_10555,2020/6/13 19:04,2
SERVER_10556,2020/5/25 20:40,2
SERVER_10556,2020/5/27 10:17,2
SERVER_10557,2020/9/29 17:58,2
SERVER_10557,2020/10/14 3:02,2
SERVER_10560,2020/3/28 2:48,2
SERVER_10564,2020/7/7 9:17,2
SERVER_10564,2020/7/8 17:58,2
SERVER_10565,2020/9/16 7:18,2
SERVER_10565,2020/9/16 12:20,2
SERVER_10565,2020/9/19 19:59,2
SERVER_1057,2020/2/8 14:03,1
SERVER_10570,2020/7/7 19:50,2
SERVER_10570,2020/7/9 3:59,2
SERVER_10570,2020/7/27 7:19,2
SERVER_10570,2020/7/27 19:36,2
SERVER_10570,2020/11/3 21:12,1
SERVER_10571,2020/5/18 1:09,2
SERVER_10571,2020/5/20 17:08,2
SERVER_10572,2020/4/10 21:46,2
SERVER_10572,2020/9/23 12:03,2
SERVER_10573,2020/6/20 12:09,2
SERVER_10573,2020/6/22 1:00,2
SERVER_10573,2020/6/22 3:15,2
SERVER_10573,2020/8/24 12:42,2
SERVER_10573,2020/8/25 23:18,2
SERVER_10575,2020/5/16 23:37,2
SERVER_10575,2020/8/4 14:32,2
SERVER_10576,2020/5/31 19:52,2
SERVER_10576,2020/6/2 16:23,2
SERVER_10577,2020/7/30 17:45,2
SERVER_10577,2020/7/31 22:45,2
SERVER_10578,2020/8/8 6:03,2
SERVER_10578,2020/8/9 11:39,2
SERVER_10579,2020/5/13 5:38,2
SERVER_10579,2020/9/6 1:12,2
SERVER_1058,2020/10/30 17:57,2
SERVER_10581,2020/3/30 23:34,2
SERVER_10581,2020/9/11 1:57,2
SERVER_10581,2020/9/12 9:38,2
SERVER_10582,2020/8/15 7:30,2
SERVER_10582,2020/8/16 13:31,2
SERVER_10583,2020/5/7 6:17,2
SERVER_10583,2020/6/27 7:16,2
SERVER_10584,2020/7/16 10:05,2
SERVER_10584,2020/8/14 20:52,2
SERVER_10584,2020/8/16 3:15,2
SERVER_10585,2020/7/27 15:47,2
SERVER_10585,2020/10/13 23:16,2
SERVER_10585,2020/10/15 6:30,2
SERVER_10587,2020/5/23 17:59,2
SERVER_10587,2020/7/25 1:44,2
SERVER_10587,2020/7/26 9:22,2
SERVER_10587,2020/8/6 21:58,2
SERVER_10588,2020/4/23 9:46,2
SERVER_10588,2020/4/24 20:36,2
SERVER_1059,2020/8/19 8:49,2
SERVER_10592,2020/7/19 13:05,2
SERVER_10595,2020/6/13 6:57,2
SERVER_10597,2020/8/27 6:02,2
SERVER_10598,2020/4/26 22:31,3
SERVER_10603,2020/1/30 0:53,2
SERVER_10605,2020/9/13 13:54,2
SERVER_10606,2019/12/31 21:21,2
SERVER_10606,2020/1/11 17:20,3
SERVER_10607,2020/11/23 7:29,3
SERVER_10608,2020/5/23 13:18,2
SERVER_10609,2020/3/20 3:43,1
SERVER_10611,2020/7/10 6:27,2
SERVER_10613,2020/1/14 6:28,2
SERVER_10613,2020/1/14 8:11,1
SERVER_10614,2020/9/21 4:42,2
SERVER_10616,2020/8/8 11:11,2
SERVER_10616,2020/8/15 22:09,2
SERVER_10618,2020/2/10 7:48,1
SERVER_10619,2020/2/11 15:42,1
SERVER_10623,2020/1/30 10:26,0
SERVER_10628,2020/10/7 0:29,2
SERVER_10629,2020/8/8 20:27,2
SERVER_10629,2020/9/28 8:52,2
SERVER_10630,2020/7/15 13:07,2
SERVER_10634,2020/8/14 1:53,2
SERVER_10634,2020/8/15 14:45,2
SERVER_10635,2020/7/9 9:46,2
SERVER_10635,2020/10/22 5:44,3
SERVER_1064,2020/5/6 7:03,3
SERVER_10642,2020/9/13 14:19,2
SERVER_10643,2020/9/16 18:02,2
SERVER_10644,2020/7/14 14:27,2
SERVER_10644,2020/10/30 9:42,2
SERVER_10646,2020/10/20 6:21,3
SERVER_10647,2019/12/31 19:51,3
SERVER_10647,2019/12/31 20:29,2
SERVER_10648,2019/12/30 18:33,2
SERVER_10648,2019/12/30 18:37,2
SERVER_10651,2020/5/10 7:16,2
SERVER_10653,2020/5/20 16:20,1
SERVER_10657,2019/12/28 0:16,1
SERVER_10658,2019/12/30 13:48,2
SERVER_10658,2020/2/13 12:38,2
SERVER_10659,2020/6/21 18:16,2
SERVER_1066,2020/8/18 3:59,2
SERVER_10660,2020/8/4 17:54,2
SERVER_10663,2020/3/3 6:36,2
SERVER_10665,2020/7/22 21:03,2
SERVER_10665,2020/7/22 23:20,1
SERVER_10666,2020/6/19 22:08,1
SERVER_10667,2020/4/25 20:54,2
SERVER_10668,2020/7/5 9:52,2
SERVER_10668,2020/7/5 10:52,1
SERVER_10669,2020/5/16 16:20,2
SERVER_10671,2020/7/20 18:39,2
SERVER_10674,2020/11/7 14:41,2
SERVER_10674,2020/11/7 14:43,2
SERVER_10675,2020/4/20 6:41,1
SERVER_10677,2020/1/28 14:56,2
SERVER_10679,2020/9/27 7:50,2
SERVER_10682,2020/10/1 15:37,2
SERVER_10682,2020/10/3 12:11,2
SERVER_1069,2020/8/28 7:52,2
SERVER_10691,2020/7/22 7:46,3
SERVER_10691,2020/8/6 17:51,3
SERVER_10691,2020/8/12 6:16,3
SERVER_10692,2020/5/2 2:29,3
SERVER_10696,2020/6/11 13:36,3
SERVER_10699,2020/3/17 13:34,3
SERVER_10699,2020/3/17 13:34,3
SERVER_1070,2020/11/11 11:40,2
SERVER_10700,2020/6/12 20:09,3
SERVER_10701,2019/12/31 1:18,3
SERVER_10705,2020/7/31 11:21,3
SERVER_10709,2020/11/21 0:34,3
SERVER_1071,2020/7/15 18:04,2
SERVER_10713,2020/1/15 16:31,3
SERVER_10713,2020/3/11 16:05,3
SERVER_10715,2020/4/2 22:28,3
SERVER_10716,2020/11/12 8:42,3
SERVER_10717,2020/1/3 5:40,1
SERVER_10719,2020/1/4 20:05,2
SERVER_10721,2020/4/8 22:41,1
SERVER_10722,2020/5/31 6:13,2
SERVER_10725,2020/4/21 8:58,2
SERVER_10727,2020/7/26 11:13,1
SERVER_10730,2020/4/8 16:45,1
SERVER_10732,2020/4/25 14:51,3
SERVER_10733,2020/5/3 14:12,3
SERVER_10733,2020/5/3 14:12,3
SERVER_10733,2020/11/2 8:24,3
SERVER_10733,2020/11/11 16:19,3
SERVER_10733,2020/11/11 16:19,3
SERVER_10734,2020/9/12 18:58,3
SERVER_10736,2020/4/16 5:43,3
SERVER_10736,2020/6/25 16:57,3
SERVER_1074,2020/9/11 10:39,2
SERVER_10740,2020/10/12 11:41,3
SERVER_10745,2020/9/3 15:01,2
SERVER_10745,2020/9/9 23:16,2
SERVER_10750,2020/11/22 17:22,2
SERVER_10750,2020/11/23 8:22,1
SERVER_10751,2020/2/22 17:24,3
SERVER_10751,2020/2/29 17:04,1
SERVER_10753,2020/10/8 1:24,2
SERVER_10753,2020/10/9 13:42,2
SERVER_1076,2020/8/11 14:03,3
SERVER_10760,2019/12/29 3:21,3
SERVER_10760,2020/9/13 22:15,1
SERVER_10763,2020/5/1 22:36,3
SERVER_10764,2020/3/21 14:06,3
SERVER_10765,2020/2/6 21:49,2
SERVER_10767,2020/6/3 18:43,3
SERVER_10768,2020/5/3 14:29,2
SERVER_10768,2020/5/7 23:29,2
SERVER_10770,2020/3/8 19:23,0
SERVER_10771,2020/5/3 6:30,2
SERVER_10772,2020/8/13 21:01,1
SERVER_10773,2020/10/6 6:30,1
SERVER_10774,2020/4/15 22:23,3
SERVER_10774,2020/6/10 14:57,3
SERVER_10774,2020/7/18 10:26,3
SERVER_10774,2020/10/12 20:23,3
SERVER_10775,2020/9/9 19:27,3
SERVER_10776,2020/9/23 7:43,3
SERVER_10781,2020/11/4 6:42,3
SERVER_10782,2020/3/24 21:10,3
SERVER_10783,2020/9/18 7:52,3
SERVER_10783,2020/9/23 19:33,3
SERVER_10783,2020/9/30 12:30,3
SERVER_10784,2020/8/25 5:33,3
SERVER_10785,2020/3/23 17:24,3
SERVER_10786,2020/10/11 1:07,3
SERVER_10787,2020/10/20 5:59,3
SERVER_10788,2020/6/29 11:06,3
SERVER_10789,2020/7/10 22:16,3
SERVER_10789,2020/7/28 8:07,3
SERVER_10789,2020/7/28 8:07,3
SERVER_10791,2020/4/10 23:06,3
SERVER_10792,2020/7/31 16:06,3
SERVER_10793,2020/6/22 19:51,3
SERVER_10794,2020/10/2 10:32,3
SERVER_108,2020/9/14 23:35,2
SERVER_108,2020/9/18 0:54,2
SERVER_1080,2020/4/1 18:40,2
SERVER_10800,2020/7/13 7:38,3
SERVER_10802,2020/3/18 19:10,3
SERVER_10803,2020/9/13 9:51,3
SERVER_10805,2020/7/15 10:45,3
SERVER_10806,2020/1/24 21:56,1
SERVER_10811,2020/10/11 2:00,3
SERVER_10812,2020/5/19 7:08,3
SERVER_10813,2020/10/2 8:34,3
SERVER_10814,2020/3/26 10:02,3
SERVER_10814,2020/11/12 7:48,3
SERVER_10815,2020/7/27 22:13,3
SERVER_10815,2020/9/16 2:17,3
SERVER_1082,2020/2/23 18:42,2
SERVER_1082,2020/3/8 16:42,2
SERVER_10820,2020/6/30 21:01,3
